	S	ACC	ASC	CCC	CSC
0	Abiotrophia defectiva	11.0	8.0	12.0	13.0
1	Abyssalbus ytuae	30.0	43.0	54.0	41.0
2	Abyssibius alkaniclasticus	52.0	67.0	54.0	20.0
3	Abyssicoccus albus	6.0	9.0	6.0	2.0
4	Acaryochloris marina	52.0	46.0	21.0	17.0
5	Acetilactobacillus jinshanensis	5.0	5.0	3.0	1.0
6	Acetivibrio clariflavus	12.0	14.0	23.0	18.0
7	Acetivibrio saccincola	12.0	8.0	17.0	10.0
8	Acetivibrio thermocellus	9.0	8.0	13.0	5.0
9	Acetoanaerobium sticklandii	4.0	16.0	11.0	18.0
10	Acetobacter aceti	73.0	91.0	77.0	49.0
11	Acetobacter ascendens	7.0	11.0	21.0	14.0
12	Acetobacter ghanensis	20.0	20.0	19.0	10.0
13	Acetobacter oryzifermentans	1.0	1.0	5.0	6.0
14	Acetobacter oryzoeni	7.0	5.0	3.0	0.0
15	Acetobacter pasteurianus	24.0	23.0	19.0	11.0
16	Acetobacter persici	39.0	33.0	24.0	16.0
17	Acetobacter pomorum	0.0	0.0	2.0	0.0
18	Acetobacter senegalensis	9.0	10.0	16.0	4.0
19	Acetobacter tropicalis	5.0	8.0	12.0	13.0
20	Acetobacter vaccinii	21.0	27.0	29.0	15.0
21	Acetobacterium wieringae	15.0	11.0	16.0	3.0
22	Acetobacterium woodii	14.0	6.0	9.0	10.0
23	Acetohalobium arabaticum	5.0	6.0	15.0	6.0
24	Acetomicrobium mobile	5.0	7.0	13.0	12.0
25	Acholeplasma hippikon	10.0	9.0	8.0	4.0
26	Acholeplasma laidlawii	11.0	18.0	5.0	10.0
27	Achromobacter aegrifaciens	15.0	20.0	20.0	13.0
28	Achromobacter deleyi	211.0	223.0	192.0	160.0
29	Achromobacter denitrificans	190.0	239.0	210.0	140.0
30	Achromobacter insolitus	122.0	163.0	157.0	127.0
31	Achromobacter mucicolens	94.0	115.0	101.0	58.0
32	Achromobacter pestifer	103.0	122.0	74.0	36.0
33	Achromobacter ruhlandii	67.0	84.0	41.0	24.0
34	Achromobacter spanius	240.0	307.0	323.0	180.0
35	Achromobacter veterisilvae	121.0	191.0	107.0	88.0
36	Achromobacter xylosoxidans	440.0	539.0	690.0	454.0
37	Acidaminococcus fermentans	9.0	20.0	30.0	29.0
38	Acidaminococcus intestini	7.0	5.0	11.0	7.0
39	Acidianus ambivalens	2.0	1.0	0.0	1.0
40	Acidianus brierleyi	7.0	4.0	9.0	3.0
41	Acidianus hospitalis	4.0	1.0	1.0	3.0
42	Acidianus manzaensis	9.0	8.0	12.0	4.0
43	Acidianus sulfidivorans	5.0	1.0	5.0	10.0
44	Acidibrevibacterium fodinaquatile	133.0	158.0	86.0	50.0
45	Acididesulfobacillus acetoxydans	17.0	12.0	9.0	8.0
46	Acidiferrobacter thiooxydans	43.0	51.0	27.0	14.0
47	Acidihalobacter aeolianus	94.0	125.0	224.0	153.0
48	Acidihalobacter ferrooxydans	139.0	133.0	163.0	84.0
49	Acidihalobacter yilgarnensis	73.0	81.0	96.0	56.0
50	Acidilobus saccharovorans	4.0	0.0	2.0	1.0
51	Acidilutibacter cellobiosedens	13.0	15.0	41.0	24.0
52	Acidimicrobium ferrooxidans	45.0	85.0	118.0	112.0
53	Acidiphilium cryptum	6.0	9.0	3.0	3.0
54	Acidiphilium multivorum	54.0	65.0	32.0	19.0
55	Acidipropionibacterium acidipropionici	74.0	93.0	54.0	21.0
56	Acidipropionibacterium jensenii	48.0	94.0	38.0	29.0
57	Acidipropionibacterium virtanenii	45.0	52.0	34.0	23.0
58	Acidisarcina polymorpha	46.0	54.0	28.0	31.0
59	Acidithiobacillus caldus	72.0	73.0	59.0	54.0
60	Acidithiobacillus ferridurans	2.0	1.0	5.0	0.0
61	Acidithiobacillus ferriphilus	40.0	45.0	31.0	11.0
62	Acidithiobacillus ferrivorans	99.0	112.0	76.0	45.0
63	Acidithiobacillus ferrooxidans	59.0	29.0	44.0	21.0
64	Acidithiobacillus thiooxidans	42.0	44.0	74.0	53.0
65	Acidobacterium capsulatum	62.0	54.0	36.0	15.0
66	Acidothermus cellulolyticus	61.0	65.0	44.0	36.0
67	Acidovorax antarcticus	263.0	361.0	307.0	156.0
68	Acidovorax avenae	684.0	769.0	755.0	437.0
69	Acidovorax carolinensis	439.0	498.0	845.0	412.0
70	Acidovorax cattleyae	106.0	122.0	145.0	124.0
71	Acidovorax citrulli	113.0	154.0	124.0	64.0
72	Acidovorax ebreus	29.0	38.0	42.0	17.0
73	Acidovorax monticola	374.0	401.0	414.0	188.0
74	Acidovorax radicis	240.0	311.0	519.0	271.0
75	Acidovorax temperans	465.0	527.0	1121.0	646.0
76	Acinetobacter baumannii	107.0	95.0	114.0	106.0
77	Acinetobacter baylyi	14.0	13.0	39.0	26.0
78	Acinetobacter bereziniae	15.0	10.0	17.0	11.0
79	Acinetobacter bouvetii	9.0	13.0	37.0	32.0
80	Acinetobacter calcoaceticus	22.0	28.0	44.0	49.0
81	Acinetobacter chinensis	7.0	10.0	19.0	8.0
82	Acinetobacter colistiniresistens	10.0	12.0	61.0	42.0
83	Acinetobacter cumulans	16.0	5.0	24.0	22.0
84	Acinetobacter defluvii	10.0	16.0	31.0	30.0
85	Acinetobacter dispersus	14.0	11.0	16.0	14.0
86	Acinetobacter equi	7.0	4.0	39.0	31.0
87	Acinetobacter guillouiae	8.0	10.0	20.0	20.0
88	Acinetobacter haemolyticus	31.0	34.0	50.0	41.0
89	Acinetobacter indicus	43.0	41.0	111.0	113.0
90	Acinetobacter johnsonii	39.0	38.0	123.0	106.0
91	Acinetobacter junii	20.0	25.0	41.0	26.0
92	Acinetobacter lactucae	4.0	5.0	14.0	11.0
93	Acinetobacter lanii	13.0	16.0	50.0	43.0
94	Acinetobacter larvae	17.0	21.0	72.0	50.0
95	Acinetobacter lwoffii	22.0	18.0	57.0	42.0
96	Acinetobacter nosocomialis	11.0	18.0	33.0	23.0
97	Acinetobacter oleivorans	1.0	9.0	4.0	6.0
98	Acinetobacter piscicola	13.0	8.0	43.0	42.0
99	Acinetobacter pittii	53.0	51.0	105.0	69.0
100	Acinetobacter portensis	3.0	3.0	7.0	0.0
101	Acinetobacter proteolyticus	8.0	20.0	24.0	12.0
102	Acinetobacter pseudolwoffii	7.0	9.0	14.0	6.0
103	Acinetobacter radioresistens	20.0	23.0	45.0	30.0
104	Acinetobacter schindleri	26.0	25.0	70.0	47.0
105	Acinetobacter seifertii	22.0	36.0	66.0	67.0
106	Acinetobacter septicus	2.0	2.0	7.0	1.0
107	Acinetobacter shaoyimingii	10.0	7.0	20.0	15.0
108	Acinetobacter soli	24.0	30.0	61.0	33.0
109	Acinetobacter tibetensis	18.0	11.0	30.0	20.0
110	Acinetobacter towneri	19.0	17.0	40.0	39.0
111	Acinetobacter ursingii	22.0	15.0	45.0	28.0
112	Acinetobacter variabilis	16.0	20.0	29.0	19.0
113	Acinetobacter venetianus	6.0	6.0	21.0	21.0
114	Acinetobacter vivianii	15.0	12.0	27.0	21.0
115	Acinetobacter wanghuae	7.0	7.0	51.0	50.0
116	Acinetobacter wuhouensis	22.0	22.0	44.0	36.0
117	Actinacidiphila bryophytorum	93.0	156.0	63.0	37.0
118	Actinacidiphila glaucinigra	157.0	224.0	127.0	96.0
119	Actinoalloteichus fjordicus	0.0	4.0	2.0	1.0
120	Actinoalloteichus hoggarensis	96.0	146.0	61.0	43.0
121	Actinoalloteichus hymeniacidonis	54.0	88.0	40.0	46.0
122	Actinobacillus arthritidis	6.0	0.0	11.0	15.0
123	Actinobacillus delphinicola	6.0	8.0	13.0	16.0
124	Actinobacillus equuli	21.0	18.0	22.0	15.0
125	Actinobacillus indolicus	6.0	8.0	8.0	6.0
126	Actinobacillus lignieresii	3.0	1.0	2.0	2.0
127	Actinobacillus pleuropneumoniae	15.0	18.0	20.0	14.0
128	Actinobacillus porcitonsillarum	1.0	5.0	25.0	17.0
129	Actinobacillus succinogenes	18.0	10.0	23.0	16.0
130	Actinobacillus suis	3.0	3.0	12.0	7.0
131	Actinocatenispora sera	108.0	127.0	83.0	63.0
132	Actinocatenispora thailandica	133.0	193.0	73.0	65.0
133	Actinomadura citrea	100.0	135.0	56.0	37.0
134	Actinomadura graeca	122.0	174.0	86.0	57.0
135	Actinomadura luteofluorescens	106.0	117.0	73.0	50.0
136	Actinomadura madurae	145.0	209.0	123.0	98.0
137	Actinomadura verrucosospora	165.0	239.0	118.0	85.0
138	Actinomarinicola tropica	623.0	884.0	791.0	733.0
139	Actinomyces faecalis	31.0	25.0	12.0	17.0
140	Actinomyces gaoshouyii	23.0	25.0	17.0	11.0
141	Actinomyces howellii	39.0	52.0	23.0	17.0
142	Actinomyces israelii	57.0	74.0	30.0	34.0
143	Actinomyces lilanjuaniae	15.0	14.0	20.0	18.0
144	Actinomyces marmotae	12.0	23.0	13.0	7.0
145	Actinomyces massiliensis	33.0	39.0	18.0	17.0
146	Actinomyces naeslundii	35.0	55.0	21.0	19.0
147	Actinomyces oris	34.0	61.0	20.0	9.0
148	Actinomyces pacaensis	7.0	18.0	23.0	12.0
149	Actinomyces procaprae	35.0	30.0	37.0	28.0
150	Actinomyces qiguomingii	24.0	29.0	26.0	24.0
151	Actinomyces radicidentis	51.0	71.0	41.0	38.0
152	Actinomyces respiraculi	34.0	51.0	23.0	18.0
