Local	S	Frequência
ACC	Abiotrophia defectiva	11.0
ACC	Abyssalbus ytuae	30.0
ACC	Abyssibius alkaniclasticus	52.0
ACC	Abyssicoccus albus	6.0
ACC	Acaryochloris marina	52.0
ACC	Acetilactobacillus jinshanensis	5.0
ACC	Acetivibrio clariflavus	12.0
ACC	Acetivibrio saccincola	12.0
ACC	Acetivibrio thermocellus	9.0
ACC	Acetoanaerobium sticklandii	4.0
ACC	Acetobacter aceti	73.0
ACC	Acetobacter ascendens	7.0
ACC	Acetobacter ghanensis	20.0
ACC	Acetobacter oryzifermentans	1.0
ACC	Acetobacter oryzoeni	7.0
ACC	Acetobacter pasteurianus	24.0
ACC	Acetobacter persici	39.0
ACC	Acetobacter senegalensis	9.0
ACC	Acetobacter tropicalis	5.0
ACC	Acetobacter vaccinii	21.0
ACC	Acetobacterium wieringae	15.0
ACC	Acetobacterium woodii	14.0
ACC	Acetohalobium arabaticum	5.0
ACC	Acetomicrobium mobile	5.0
ACC	Acholeplasma hippikon	10.0
ACC	Acholeplasma laidlawii	11.0
ACC	Achromobacter aegrifaciens	15.0
ACC	Achromobacter deleyi	211.0
ACC	Achromobacter denitrificans	190.0
ACC	Achromobacter insolitus	122.0
ACC	Achromobacter mucicolens	94.0
ACC	Achromobacter pestifer	103.0
ACC	Achromobacter ruhlandii	67.0
ACC	Achromobacter spanius	240.0
ACC	Achromobacter veterisilvae	121.0
ACC	Achromobacter xylosoxidans	440.0
ACC	Acidaminococcus fermentans	9.0
ACC	Acidaminococcus intestini	7.0
ACC	Acidianus ambivalens	2.0
ACC	Acidianus brierleyi	7.0
ACC	Acidianus hospitalis	4.0
ACC	Acidianus manzaensis	9.0
ACC	Acidianus sulfidivorans	5.0
ACC	Acidibrevibacterium fodinaquatile	133.0
ACC	Acididesulfobacillus acetoxydans	17.0
ACC	Acidiferrobacter thiooxydans	43.0
ACC	Acidihalobacter aeolianus	94.0
ACC	Acidihalobacter ferrooxydans	139.0
ACC	Acidihalobacter yilgarnensis	73.0
ACC	Acidilobus saccharovorans	4.0
ACC	Acidilutibacter cellobiosedens	13.0
ACC	Acidimicrobium ferrooxidans	45.0
ACC	Acidiphilium cryptum	6.0
ACC	Acidiphilium multivorum	54.0
ACC	Acidipropionibacterium acidipropionici	74.0
ACC	Acidipropionibacterium jensenii	48.0
ACC	Acidipropionibacterium virtanenii	45.0
ACC	Acidisarcina polymorpha	46.0
ACC	Acidithiobacillus caldus	72.0
ACC	Acidithiobacillus ferridurans	2.0
ACC	Acidithiobacillus ferriphilus	40.0
ACC	Acidithiobacillus ferrivorans	99.0
ACC	Acidithiobacillus ferrooxidans	59.0
ACC	Acidithiobacillus thiooxidans	42.0
ACC	Acidobacterium capsulatum	62.0
ACC	Acidothermus cellulolyticus	61.0
ACC	Acidovorax antarcticus	263.0
ACC	Acidovorax avenae	684.0
ACC	Acidovorax carolinensis	439.0
ACC	Acidovorax cattleyae	106.0
ACC	Acidovorax citrulli	113.0
ACC	Acidovorax ebreus	29.0
ACC	Acidovorax monticola	374.0
ACC	Acidovorax radicis	240.0
ACC	Acidovorax temperans	465.0
ACC	Acinetobacter baumannii	107.0
ACC	Acinetobacter baylyi	14.0
ACC	Acinetobacter bereziniae	15.0
ACC	Acinetobacter bouvetii	9.0
ACC	Acinetobacter calcoaceticus	22.0
ACC	Acinetobacter chinensis	7.0
ACC	Acinetobacter colistiniresistens	10.0
ACC	Acinetobacter cumulans	16.0
ACC	Acinetobacter defluvii	10.0
ACC	Acinetobacter dispersus	14.0
ACC	Acinetobacter equi	7.0
ACC	Acinetobacter guillouiae	8.0
ACC	Acinetobacter haemolyticus	31.0
ACC	Acinetobacter indicus	43.0
ACC	Acinetobacter johnsonii	39.0
ACC	Acinetobacter junii	20.0
ACC	Acinetobacter lactucae	4.0
ACC	Acinetobacter lanii	13.0
ACC	Acinetobacter larvae	17.0
ACC	Acinetobacter lwoffii	22.0
ACC	Acinetobacter nosocomialis	11.0
ACC	Acinetobacter oleivorans	1.0
ACC	Acinetobacter piscicola	13.0
ACC	Acinetobacter pittii	53.0
ACC	Acinetobacter portensis	3.0
ACC	Acinetobacter proteolyticus	8.0
ACC	Acinetobacter pseudolwoffii	7.0
ACC	Acinetobacter radioresistens	20.0
ACC	Acinetobacter schindleri	26.0
ACC	Acinetobacter seifertii	22.0
ACC	Acinetobacter septicus	2.0
ACC	Acinetobacter shaoyimingii	10.0
ACC	Acinetobacter soli	24.0
ACC	Acinetobacter tibetensis	18.0
ACC	Acinetobacter towneri	19.0
ACC	Acinetobacter ursingii	22.0
ACC	Acinetobacter variabilis	16.0
ACC	Acinetobacter venetianus	6.0
ACC	Acinetobacter vivianii	15.0
ACC	Acinetobacter wanghuae	7.0
